"Africa","Antarctica","Asia","Europe","North America","Oceania","Seven seas (open ocean)","South America"
1,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
2,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
21,0,0,0,19934,0,0,0
4,0,0,0,3187,0,0,0
1,0,0,0,1770,0,0,0
242,0,0,0,3116,0,0,0
162,0,0,0,16028,0,0,0
145,0,0,0,10601,0,0,0
511,0,0,0,22230,0,0,0
2,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
431,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,156,449,0,0,0,0
110,0,0,0,0,0,0,0
12,0,2,4,0,0,0,0
97,0,0,0,0,0,2,0
1,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
41,0,9,0,0,0,0,0
65,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0
1,0,2,20,0,0,0,0
10,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0
6,0,3,0,0,0,0,0
2,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0
20,0,27,0,0,0,0,0
28,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
775,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
28,0,243,1003,0,0,0,0
15,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
19,0,4,14,0,0,0,0
470,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
40,0,0,10,0,0,0,0
2,0,11,0,0,0,0,0
14,0,32,5,0,0,0,0
1,0,0,3,0,0,0,0
1,0,58,11,0,0,0,0
1,0,0,0,0,0,0,0
6,0,0,2,0,0,0,0
1,0,0,0,3,0,0,0
6,0,1,33,0,0,0,0
11,0,2,1,0,0,0,0
5,0,0,0,0,0,0,0
16,0,0,939,0,1,0,0
2,0,1,0,0,0,0,0
15,0,3,104,0,0,0,0
18,0,0,0,299,0,0,0
7,0,0,0,461,0,0,0
9,0,0,3,0,0,0,0
12,0,0,0,428,0,0,0
2,0,0,0,747,0,0,0
2,0,0,0,113,0,0,0
29,0,0,0,3451,0,0,0
1,0,0,31,0,0,0,0
2,0,3,0,0,0,0,0
12,0,0,24,0,0,0,0
1,0,1,16,5,0,0,0
41,0,0,0,652,0,0,0
1,0,0,0,378,0,0,0
6,0,0,0,702,0,0,0
26,0,1,10724,915,0,0,0
2,0,0,0,0,0,0,0
7,0,0,3,0,0,0,0
7,0,17,18700,2,2,0,0
2,0,0,0,562,0,0,0
23,0,0,0,0,0,0,0
4,0,0,2,0,0,0,0
7,0,0,0,0,0,0,0
2,0,0,0,629,0,0,0
2,0,0,0,555,0,0,0
1,0,0,1,0,0,0,0
4,0,0,0,149,0,0,0
1,0,0,0,0,0,0,0
6,0,0,0,1615,0,0,0
1,0,0,0,0,0,0,0
41,0,0,0,505,0,0,0
12,0,0,0,1826,0,0,0
78,0,0,0,8689,0,0,0
2,0,1,0,0,0,0,0
6,0,0,0,873,0,0,0
1,0,0,0,352,0,0,0
1,0,0,0,187,0,0,0
1,0,0,0,1479,0,0,0
1,0,0,0,104,0,0,0
27,0,1,13266,366,3,0,4
13,0,0,0,360,0,0,0
2,0,0,0,5,0,0,0
1,0,0,0,155,0,0,0
100,0,110,160,2412,0,0,1
47,0,0,0,957,0,0,0
4,0,0,5,0,0,0,0
1,0,0,0,92,0,0,0
9,0,0,0,270,0,0,0
125,0,0,0,4966,0,0,0
28,0,0,0,4015,0,0,0
6,0,0,0,679,0,0,0
1,0,178,10,0,0,0,0
4,0,0,0,326,0,0,0
69,0,0,0,20,0,0,0
2,0,1,1,0,0,0,0
1,0,0,0,277,0,0,0
218,0,0,0,1143,0,0,0
5,0,0,0,0,0,0,0
3,0,2,0,0,0,0,0
11,0,0,0,7713,0,0,0
63,0,0,0,1397,0,0,0
6,0,0,0,510,0,0,0
7,0,1,0,0,0,0,0
1,0,0,0,547,0,0,0
4,0,0,44,0,0,0,0
84,0,168,29327,3,0,0,0
2,0,1,3618,1,3,0,0
2,0,0,5,0,0,0,0
13,0,0,0,1986,0,0,0
232,0,0,0,906,0,0,0
128,0,0,0,1188,0,0,0
2,0,0,0,0,0,0,0
3,0,3,60,0,0,0,0
9,0,0,2,0,0,0,0
19,0,11,90,0,0,0,0
3,0,0,0,484,0,0,0
1,0,0,0,21,0,0,0
7,0,0,0,283,0,0,0
15,0,0,0,1058,0,0,0
1,0,7,0,0,0,0,0
219,0,0,0,259,0,0,0
2,0,3,67,0,0,0,0
32,0,0,0,1859,0,0,0
202,0,0,0,2033,0,0,0
1,0,0,0,0,0,0,0
4,0,0,0,1816,0,0,0
25,0,0,0,3270,0,0,0
1,0,0,11,0,0,0,0
1,0,22,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,1,12,0,0,0,0
1,0,0,0,58,0,0,0
27,0,0,8,0,0,0,0
1,0,0,636,0,0,0,0
1,0,0,1,0,0,0,0
4,0,0,0,251,0,0,0
4,0,4,27,9,0,0,0
1,0,0,3,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,8,0,0,0,0
4,0,74,166,0,0,0,0
7,0,0,28,0,0,0,0
5,0,84,32,0,0,0,0
11,0,0,0,1435,0,0,0
9,0,0,0,545,0,0,0
2,0,0,0,0,0,0,0
12,0,0,0,890,0,0,0
4,0,16,1,0,0,0,0
4,0,0,0,0,0,0,0
15,0,0,0,988,0,0,0
52,0,0,0,430,0,0,0
7,0,228,0,0,0,0,0
18,0,0,0,731,0,0,0
2,0,0,0,39,0,0,0
15,0,0,0,681,0,0,0
2,0,185,16,0,0,0,0
118,0,0,0,2297,0,0,0
3,0,24,1,0,0,0,0
82,0,0,0,446,0,0,0
202,0,0,0,5828,0,0,0
9,0,7,243,0,0,0,0
2,0,0,328,5,0,0,59
243,0,0,0,5472,0,0,0
1,0,0,0,58,0,0,0
9,0,0,0,807,0,0,0
41,0,9,12346,1,1,0,0
26,0,0,0,1878,0,0,0
7,0,0,217,1,0,0,0
1,0,0,3,0,0,0,0
62,0,0,0,1198,0,0,0
54,0,0,0,0,0,0,0
44,0,0,0,1496,0,0,0
